accver	title	taxid	species	type	P	H	F	date	ac0	ac1	ac2	ac3	ac4	latitude	longitude	collection_date	country
MN307154.1	Human adenovirus 7 strain HAdV-B/USA_MI/8596/2019/P7H7F7, complete genome	10519	B	007	007	007	007	2019-04-03	US	MI	?	?	?	34.05	-118.24	03-Apr-2019	USA: Michigan
MN307155.1	Human adenovirus 7 strain HAdV-B/USA_MI/7744/2019/P7H7F7, complete genome	10519	B	007	007	007	007	2019-03-22	US	MI	?	?	?	34.05	-118.24	22-Mar-2019	USA: Michigan
MN307153.1	Human adenovirus 7 strain HAdV-B/USA_MI/6118/2019/P7H7F7, complete genome	10519	B	007	007	007	007	2019-03-13	US	MI	?	?	?	34.05	-118.24	13-Mar-2019	USA: Michigan
MN307152.1	Human adenovirus 7 strain HAdV-B/USA_PA/7605/2018/P7H7F7, complete genome	10519	B	007	007	007	007	2018-12-17	US	PA	?	?	?	34.05	-118.24	17-Dec-2018	USA: Pennsylvania
MN307163.1	Human adenovirus 7 strain HAdV-B/USA_WI/5555/2018/P7H7F7, complete genome	10519	B	007	007	007	007	2018-12-17	US	WI	?	?	?	34.05	-118.24	17-Dec-2018	USA: Wisconsin
MN307151.1	Human adenovirus 7 strain HAdV-B/USA_PA/7599/2018/P7H7F7, complete genome	10519	B	007	007	007	007	2018-12-14	US	PA	?	?	?	34.05	-118.24	14-Dec-2018	USA: Pennsylvania
MN307162.1	Human adenovirus 7 strain HAdV-B/USA_WI/5542/2018/P7H7F7, complete genome	10519	B	007	007	007	007	2018-12-07	US	WI	?	?	?	34.05	-118.24	07-Dec-2018	USA: Wisconsin
MN307161.1	Human adenovirus 7 strain HAdV-B/USA_WI/5539/2018/P7H7F7, complete genome	10519	B	007	007	007	007	2018-12-06	US	WI	?	?	?	34.05	-118.24	06-Dec-2018	USA: Wisconsin
MN307160.1	Human adenovirus 7 strain HAdV-B/USA_WI/6013/2018/P7H7F7, complete genome	10519	B	007	007	007	007	2018-12-03	US	WI	?	?	?	34.05	-118.24	03-Dec-2018	USA: Wisconsin
MN307159.1	Human adenovirus 7 strain HAdV-B/USA_WI/6001/2018/P7H7F7, complete genome	10519	B	007	007	007	007	2018-12-01	US	WI	?	?	?	34.05	-118.24	01-Dec-2018	USA: Wisconsin
MN307148.1	Human adenovirus 7 strain HAdV-B/USA_MD/6201/2018/P7H7F7, complete genome	10519	B	007	007	007	007	2018-11-30	US	MD	?	?	?	34.05	-118.24	30-Nov-2018	USA: Maryland
MN307150.1	Human adenovirus 7 strain HAdV-B/USA_PA/7575/2018/P7H7F7, complete genome	10519	B	007	007	007	007	2018-11-28	US	PA	?	?	?	34.05	-118.24	28-Nov-2018	USA: Pennsylvania
MN307158.1	Human adenovirus 7 strain HAdV-B/USA_WI/6007/2018/P7H7F7, complete genome	10519	B	007	007	007	007	2018-11-27	US	WI	?	?	?	34.05	-118.24	27-Nov-2018	USA: Wisconsin
MN307157.1	Human adenovirus 7 strain HAdV-B/USA_WI/6005/2018/P7H7F7, complete genome	10519	B	007	007	007	007	2018-11-19	US	WI	?	?	?	34.05	-118.24	19-Nov-2018	USA: Wisconsin
MN307147.1	Human adenovirus 7 strain HAdV-B/USA_MD/9630/2018/P7H7F7, complete genome	10519	B	007	007	007	007	2018-11-15	US	MD	?	?	?	34.05	-118.24	15-Nov-2018	USA: Maryland
MN307146.1	Human adenovirus 7 strain HAdV-B/USA_MD/9631/2018/P7H7F7, complete genome	10519	B	007	007	007	007	2018-10-29	US	MD	?	?	?	34.05	-118.24	29-Oct-2018	USA: Maryland
MN307149.1	Human adenovirus 7 strain HAdV-B/USA_PA/9761/2018/P7H7F7, complete genome	10519	B	007	007	007	007	2018-10-06	US	PA	?	?	?	34.05	-118.24	06-Oct-2018	USA: Pennsylvania
LC530212.1	Human adenovirus 7 293 DNA, complete genome	10519	B	007	007	007	007	2018-01-01	JP	24	?	?	?	42.48	-78.38	2018	Japan:Sendai
MN164629.1	Human adenovirus 7 isolate A549, complete genome	10519	B	007	007	007	007	2018-01-01	CN	?	?	?	?	25.00	45.00	2018	China
MN135993.1	Human adenovirus 7 strain 163, complete genome	10519	B	007	007	007	007	2018-01-01	CN	?	?	?	?	25.00	45.00	2018	China
MH355567.1	Human adenovirus 7 strain BJ/CHN/2018, complete genome	10519	B	007	007	007	007	2018-01-01	CN	?	?	?	?	25.00	45.00	01-Jan-2018	China
MH697602.1	Human adenovirus 7 strain HAdV-B/USA_VA/5799/2017/P7H7F7, complete genome	10519	B	007	007	007	007	2017-08-11	US	?	?	?	?	64.00	26.00	11-Aug-2017	USA
MH697607.1	Human adenovirus 7 strain HAdV-B/USA_PA/5803/2017/P7H7F7, complete genome	10519	B	007	007	007	007	2017-08-10	US	?	?	?	?	64.00	26.00	10-Aug-2017	USA
MH697606.1	Human adenovirus 7 strain HAdV-B/USA_VA/5801/2017/P7H7F7, complete genome	10519	B	007	007	007	007	2017-08-09	US	?	?	?	?	64.00	26.00	09-Aug-2017	USA
MH697601.1	Human adenovirus 7 strain HAdV-B/USA_VA/5682/2017/P7H7F7, complete genome	10519	B	007	007	007	007	2017-08-03	US	?	?	?	?	64.00	26.00	03-Aug-2017	USA
MH697605.1	Human adenovirus 7 strain HAdV-B/USA_VA/5677/2017/P7H7F7, complete genome	10519	B	007	007	007	007	2017-08-02	US	?	?	?	?	64.00	26.00	02-Aug-2017	USA
MH697600.1	Human adenovirus 7 strain HAdV-B/USA_VA/5675/2017/P7H7F7, complete genome	10519	B	007	007	007	007	2017-08-01	US	?	?	?	?	64.00	26.00	01-Aug-2017	USA
MH697604.1	Human adenovirus 7 strain HAdV-B/USA_VA/1404/2017/P7H7F7, complete genome	10519	B	007	007	007	007	2017-07-30	US	?	?	?	?	64.00	26.00	30-Jul-2017	USA
MH697603.1	Human adenovirus 7 strain HAdV-B/USA_VA/1403/2017/P7H7F7, complete genome	10519	B	007	007	007	007	2017-07-25	US	?	?	?	?	64.00	26.00	25-Jul-2017	USA
MG736304.1	Human adenovirus 7 isolate X10s, complete genome	10519	B	007	007	007	007	2017-04-30	CN	?	?	?	?	25.00	45.00	30-Apr-2017	China
MG736303.1	Human adenovirus 7 isolate X07s, complete genome	10519	B	007	007	007	007	2017-04-28	CN	?	?	?	?	25.00	45.00	28-Apr-2017	China
MH262323.1	Human adenovirus 7 strain HAdV-B/USA_NJ/6295/2017/P7H7F7, complete genome	10519	B	007	007	007	007	2017-02-16	US	?	?	?	?	64.00	26.00	16-Feb-2017	USA
MH262322.1	Human adenovirus 7 strain HAdV-B/USA_NJ/6294/2017/P7H7F7, complete genome	10519	B	007	007	007	007	2017-02-15	US	?	?	?	?	64.00	26.00	15-Feb-2017	USA
MH262324.1	Human adenovirus 7 strain HAdV-B/USA_NJ/6296/2017/P7H7F7, complete genome	10519	B	007	007	007	007	2017-02-09	US	?	?	?	?	64.00	26.00	09-Feb-2017	USA
MK492257.1	Human adenovirus 7 strain HAdV-B/NW-14993/Illinois/USA/2017/P7H7F7, complete genome	10519	B	007	007	007	007	2017-02-01	US	?	?	?	?	64.00	26.00	Feb-2017	USA
MH262326.1	Human adenovirus 7 strain HAdV-B/USA_PA/1201/2017/P7H7F7, complete genome	10519	B	007	007	007	007	2017-01-11	US	?	?	?	?	64.00	26.00	11-Jan-2017	USA
MH262325.1	Human adenovirus 7 strain HAdV-B/USA_PA/1200/2017/P7H7F7, complete genome	10519	B	007	007	007	007	2017-01-10	US	?	?	?	?	64.00	26.00	10-Jan-2017	USA
MH262321.1	Human adenovirus 7 strain HAdV-B/USA_NJ/5649/2016/P7H7F7, complete genome	10519	B	007	007	007	007	2016-12-19	US	?	?	?	?	64.00	26.00	19-Dec-2016	USA
MH262319.1	Human adenovirus 7 strain HAdV-B/USA_NJ/5645/2016/P7H7F7, complete genome	10519	B	007	007	007	007	2016-12-14	US	?	?	?	?	64.00	26.00	14-Dec-2016	USA
MH262320.1	Human adenovirus 7 strain HAdV-B/USA_NJ/5646/2016/P7H7F7, complete genome	10519	B	007	007	007	007	2016-12-14	US	?	?	?	?	64.00	26.00	14-Dec-2016	USA
MH262318.1	Human adenovirus 7 strain HAdV-B/USA_NJ/5644/2016/P7H7F7, complete genome	10519	B	007	007	007	007	2016-12-12	US	?	?	?	?	64.00	26.00	12-Dec-2016	USA
MK896857.1	Human mastadenovirus B isolate Human/China/Shanghai/8473/2016/7[P7H7F7], complete genome	108098	B	007	007	007	007	2016-01-15	CN	?	?	?	?	25.00	45.00	15-Jan-2016	China
KX897164.1	Human adenovirus 7 isolate Z9/WH/CHN/2015 complete genome, complete genome	10519	B	007	007	007	007	2015-01-01	CN	?	?	?	?	25.00	45.00	2015	China
MK492255.1	Human adenovirus 7 strain HAdV-B/NW-MM/Illinois/USA/2014/P7H7F7, complete genome	10519	B	007	007	007	007	2014-12-01	US	?	?	?	?	64.00	26.00	Dec-2014	USA
MK492256.1	Human adenovirus 7 strain HAdV-B/NW-VM/Illinois/USA/2014/P7H7F7, complete genome	10519	B	007	007	007	007	2014-12-01	US	?	?	?	?	64.00	26.00	Dec-2014	USA
MN531562.1	Human mastadenovirus B strain HAdV 7/Haiti-0707/2014, complete genome	108098	B	007	007	007	007	2014-11-17	HT	?	?	?	?	19.08	-72.30	17-Nov-2014	Haiti
KU361344.1	Human adenovirus 7 strain 19BOVLB/Volgograd/Rus/2014, complete genome	10519	B	007	007	007	007	2014-03-19	RU	?	?	?	?	51.50	10.50	19-Mar-2014	Russia: Volgograd province
KT963081.1	Human adenovirus 7 strain CDC 2014012.949, complete genome	10519	B	007	007	007	007	2014-02-19	US	OR	?	?	?	34.05	-118.24	19-Feb-2014	USA: Oregon
MK883612.1	Human mastadenovirus B isolate Human/China/Shanghai/6138/7/2014[P7H7F7], complete genome	108098	B	007	007	007	007	2014-01-13	CN	?	?	?	?	25.00	45.00	13-Jan-2014	China
MG923581.1	Human adenovirus 7 strain hAdV/Saint-Petersburg/40/2013, partial genome	10519	B	007	007	007	007	2013-09-28	RU	66	?	?	?	13.83	-88.92	28-Sep-2013	Russia: Saint Petersburg
MG923582.1	Human adenovirus 7 strain hAdV/Saint-Petersburg/43/2013, complete genome	10519	B	007	007	007	007	2013-09-16	RU	66	?	?	?	13.83	-88.92	16-Sep-2013	Russia: Saint Petersburg
MK883609.1	Human mastadenovirus B isolate Human/China/Shanghai/4746/2013/7[P7H7F7], complete genome	108098	B	007	007	007	007	2013-04-07	CN	?	?	?	?	25.00	45.00	07-Apr-2013	China
KP896479.1	Human adenovirus 7 strain Hubei/JZ01/2013, complete genome	10519	B	007	007	007	007	2013-02-25	CN	?	?	?	?	25.00	45.00	25-Feb-2013	China
KP896480.1	Human adenovirus 7 strain Shanxi/TY01/2013, complete genome	10519	B	007	007	007	007	2013-01-19	CN	?	?	?	?	25.00	45.00	19-Jan-2013	China
KP896481.1	Human adenovirus 7 strain Hubei/XF/2013, complete genome	10519	B	007	007	007	007	2013-01-18	CN	?	?	?	?	25.00	45.00	18-Jan-2013	China
KJ019886.1	Human adenovirus 7 strain H18/JM/CHN/2013, complete genome	10519	B	007	007	007	007	2013-01-01	CN	?	?	?	?	25.00	45.00	2013	China
KJ019887.1	Human adenovirus 7 strain JM11/JM/CHN/2013, complete genome	10519	B	007	007	007	007	2013-01-01	CN	?	?	?	?	25.00	45.00	2013	China
KJ019883.1	Human adenovirus 7 strain K22/JM/CHN/2013, complete genome	10519	B	007	007	007	007	2013-01-01	CN	?	?	?	?	25.00	45.00	2013	China
KJ019879.1	Human adenovirus 7 strain XY6/XY/CHN/2013, complete genome	10519	B	007	007	007	007	2013-01-01	CN	?	?	?	?	25.00	45.00	2013	China
KP670859.1	Human adenovirus 7 strain human/CHN/GZ8987/2012/7[P7H7F7], complete genome	10519	B	007	007	007	007	2012-08-04	CN	?	?	?	?	25.00	45.00	04-Aug-2012	China
KP670860.1	Human adenovirus 7 strain human/CHN/GZ8546/2012/7[P7H7F7], complete genome	10519	B	007	007	007	007	2012-04-26	CN	?	?	?	?	25.00	45.00	26-Apr-2012	China
KC857700.1	Human adenovirus 7 strain HAdV B7 XZ2011-93, complete genome	10519	B	007	007	007	007	2012-01-25	CN	?	?	?	?	25.00	45.00	25-Jan-2012	China
KJ019884.1	Human adenovirus 7 strain CDC228/JM/CHN/2012, complete genome	10519	B	007	007	007	007	2012-01-01	CN	?	?	?	?	25.00	45.00	2012	China
KJ019885.1	Human adenovirus 7 strain H12/JM/CHN/2012, complete genome	10519	B	007	007	007	007	2012-01-01	CN	?	?	?	?	25.00	45.00	2012	China
KJ019882.1	Human adenovirus 7 strain K57/JM/CHN/2012, complete genome	10519	B	007	007	007	007	2012-01-01	CN	?	?	?	?	25.00	45.00	2012	China
KJ019888.1	Human adenovirus 7 strain L14/XY/CHN/2012, complete genome	10519	B	007	007	007	007	2012-01-01	CN	?	?	?	?	25.00	45.00	2012	China
KJ019881.1	Human adenovirus 7 strain L34/XY/CHN/2012, complete genome	10519	B	007	007	007	007	2012-01-01	CN	?	?	?	?	25.00	45.00	2012	China
KJ019880.1	Human adenovirus 7 strain XY1/XY/CHN/2012, complete genome	10519	B	007	007	007	007	2012-01-01	CN	?	?	?	?	25.00	45.00	2012	China
KF268316.1	Human adenovirus B strain human/CHN/a238/2011/7[P7H7F7], complete genome	108098	B	007	007	007	007	2011-10-08	CN	30	?	?	?	60.11	-113.64	08-Oct-2011	China: Guangzhou
KP670861.1	Human adenovirus 7 strain human/CHN/GZ7052/2011/7[P7H7F7], complete genome	10519	B	007	007	007	007	2011-08-08	CN	?	?	?	?	25.00	45.00	08-Aug-2011	China
KP670855.2	Human adenovirus 7 strain human/CHN/GZ7015/2011/7[P7H7F7], complete genome	10519	B	007	007	007	007	2011-07-08	CN	?	?	?	?	25.00	45.00	08-Jul-2011	China
KP670856.2	Human adenovirus 7 strain human/CHN/GZ6965/2011/7[P7H7F7], complete genome	10519	B	007	007	007	007	2011-05-12	CN	?	?	?	?	25.00	45.00	12-May-2011	China
MK836313.1	Human mastadenovirus B isolate human/China/Shanghai/3426/2011/7[P7H7F7], complete genome	108098	B	007	007	007	007	2011-04-26	CN	?	?	?	?	25.00	45.00	26-Apr-2011	China
MK836312.1	Human mastadenovirus B isolate Human/China/Shanghai/3418/2011/7[P7H7F7], complete genome	108098	B	007	007	007	007	2011-04-22	CN	?	?	?	?	25.00	45.00	22-Apr-2011	China
KP670857.1	Human adenovirus 7 strain human/CHN/GZ6784/2011/7[P7H7F7], complete genome	10519	B	007	007	007	007	2011-03-09	CN	?	?	?	?	25.00	45.00	09-Mar-2011	China
KC440171.1	Human adenovirus 7 strain human/CHN/DG01/2011/7[P7H7F7], complete genome	10519	B	007	007	007	007	2011-03-06	CN	?	?	?	?	25.00	45.00	06-Mar-2011	China
KF268314.1	Human adenovirus B strain human/CHN/DG/2011/7[P7H7F7], complete genome	108098	B	007	007	007	007	2011-03-05	CN	?	?	?	8721551	9.00	-80.00	05-Mar-2011	China: Dongguan
JX625134.1	Human adenovirus 7 isolate CQ1198, complete genome	10519	B	007	007	007	007	2010-11-01	CN	?	?	?	?	25.00	45.00	Nov-2010	China
KP670858.1	Human adenovirus 7 strain human/CHN/GZ6080/2010/7[P7H7F7], complete genome	10519	B	007	007	007	007	2010-07-20	CN	?	?	?	?	25.00	45.00	20-Jul-2010	China
JF800905.1	Human adenovirus 7 strain 0901HZ/ShX/CHN/2009, complete genome	10519	B	007	007	007	007	2009-01-08	CN	?	?	?	?	25.00	45.00	08-Jan-2009	China: Shaanxi Province
JN860677.1	Human adenovirus 7d2 strain FS2154, complete genome	326124	B	007	007	007	007	2009-01-01	US	?	?	?	?	64.00	26.00	2009	USA
GQ478341.1	Human adenovirus 7 strain GZ08, complete genome	10519	B	007	007	007	007	2008-02-01	CN	?	?	?	?	25.00	45.00	01-Feb-2008	China
HQ659699.1	Human adenovirus 7 strain gz07, complete genome	10519	B	007	007	007	007	2007-11-01	CN	?	?	?	?	25.00	45.00	Nov-2007	China
JX423383.1	Human adenovirus B strain human/USA/ak35_AdV7d2/2006/7[P7H7F7], complete genome	108098	B	007	007	007	007	2006-04-01	US	MO	?	?	?	34.05	-118.24	01-Apr-2006	USA: Missouri
JX423386.1	Human adenovirus B strain human/ARG/ak38_AdV7h/2003/7[P7H7F7], complete genome	108098	B	007	007	007	007	2003-01-01	AR	?	?	?	?	27.00	30.00	01-Jan-2003	Argentina
MH910667.1	Human adenovirus 7 strain HAdV-B/USA/R081586/1999, complete genome	10519	B	007	007	007	007	1999-01-01	US	NY	?	?	?	34.05	-118.24	1999	USA: New York
MH910665.1	Human adenovirus 7 strain HAdV-B/USA/8010/1998, complete genome	10519	B	007	007	007	007	1998-01-01	US	TX	?	?	?	34.05	-118.24	1998	USA: Texas
JX423387.1	Human adenovirus B strain human/USA/ak39_AdV7d2/1997/7[P7H7F7], complete genome	108098	B	007	007	007	007	1997-09-01	US	?	?	?	?	64.00	26.00	01-Sep-1997	USA: Illinios
JX423388.1	Human adenovirus B strain human/USA/ak40_AdV7b/1997/7[P7H7F7], complete genome	108098	B	007	007	007	007	1997-08-01	US	?	?	?	?	64.00	26.00	01-Aug-1997	USA: Illinios
MH910664.1	Human adenovirus 7 strain HAdV-B/USA/25-625/1997, complete genome	10519	B	007	007	007	007	1997-01-01	US	IL	?	?	?	62.00	15.00	1997	USA: Illinois
MH910668.1	Human adenovirus 7 strain HAdV-B/USA/6866/1997, complete genome	10519	B	007	007	007	007	1997-01-01	US	SC	?	?	?	34.05	-118.24	1997	USA: South Carolina
MH910663.1	Human adenovirus 7 strain HAdV-B/USA/750/1997, complete genome	10519	B	007	007	007	007	1997-01-01	US	IL	?	?	?	62.00	15.00	1997	USA: Illinois
MH910666.1	Human adenovirus 7 strain HAdV-B/USA/V9368/1996, complete genome	10519	B	007	007	007	007	1996-01-01	US	GA	?	?	?	62.00	15.00	1996	USA: Georgia
KF268134.1	Human adenovirus B strain human/USA/CL_43/1988/7[P7H7F7], complete genome	108098	B	007	007	007	007	1988-01-01	US	PA	003	?	?	34.05	-118.24	1988	USA: Pittsburgh, Pennsylvania
KF268125.1	Human adenovirus B strain human/USA/CL_44/1988/7[P7H7F7], complete genome	108098	B	007	007	007	007	1988-01-01	US	PA	003	?	?	34.05	-118.24	1988	USA: Pittsburgh, Pennsylvania
MH910662.1	Human adenovirus 7 strain HAdV-B/USA/S 1058/1955, complete genome	10519	B	007	007	007	007	1955-01-01	US	MD	?	?	?	34.05	-118.24	1955	USA: Maryland
MG696128.1	Human adenovirus 7 isolate X01, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696129.1	Human adenovirus 7 isolate X02, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696130.1	Human adenovirus 7 isolate X03, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696131.1	Human adenovirus 7 isolate X04, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696132.1	Human adenovirus 7 isolate X05, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696133.1	Human adenovirus 7 isolate X06, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696134.1	Human adenovirus 7 isolate X07, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696135.1	Human adenovirus 7 isolate X09, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696136.1	Human adenovirus 7 isolate X10, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696137.1	Human adenovirus 7 isolate X12, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696138.1	Human adenovirus 7 isolate X13, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696139.1	Human adenovirus 7 isolate X16, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696140.1	Human adenovirus 7 isolate X17, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696141.1	Human adenovirus 7 isolate X19, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696142.1	Human adenovirus 7 isolate X20, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696143.1	Human adenovirus 7 isolate X21, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696144.1	Human adenovirus 7 isolate X22, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696145.1	Human adenovirus 7 isolate X23, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696146.1	Human adenovirus 7 isolate X24, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696147.1	Human adenovirus 7 isolate X25, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696148.1	Human adenovirus 7 isolate X26, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MG696149.1	Human adenovirus 7 isolate X27, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
MH910669.1	Human adenovirus 7 strain HAdV-B/USA/55142/1960s, complete genome	10519	B	007	007	007	007	?	US	?	?	?	?	64.00	26.00	NA	USA
KF268117.1	Human adenovirus B strain human/USA/UFL_Adv7d2-2/unknown/7[P7H7F7], complete genome	108098	B	007	007	007	007	?	US	IA	?	?	?	62.00	15.00	NA	USA: Iowa
KF268135.1	Human adenovirus B strain human/USA/UFL_Adv7d2-3/unknown/7[P7H7F7], complete genome	108098	B	007	007	007	007	?	US	IA	?	?	?	62.00	15.00	NA	USA: Iowa
AY594255.1	Human adenovirus type 7 strain Gomen, complete genome	10519	B	007	007	007	007	?	?	?	?	?	?	?	?	NA	NA
AY601634.1	Human adenovirus type 7 strain NHRC 1315, complete genome	10519	B	007	007	007	007	?	US	IL	?	?	?	62.00	15.00	NA	USA: Illinois, NTC Great Lakes
AY594256.1	Human adenovirus type 7 vaccine strain, complete genome	10519	B	007	007	007	007	?	?	?	?	?	?	?	?	NA	NA
AY495969.1	Human adenovirus type 7 vaccine strain, complete genome	10519	B	007	007	007	007	?	CN	?	?	?	?	25.00	45.00	NA	China
AC_000018.1	Human adenovirus type 7, complete genome	10519	B	007	007	007	007	?	?	?	?	?	?	?	?	NA	NA
MN431241.1	Human adenovirus D8 isolate VN2017, complete genome	31545	D	008	008	008	008	2017-01-01	VN	?	?	?	?	37.24	-76.51	2017	Viet Nam
KT862549.1	Human adenovirus D8 strain Ger/Hannover/10_2014, complete genome	31545	D	008	008	008	008	2014-10-01	DE	?	?	?	?	54.76	-2.70	Oct-2014	Germany
KT862547.1	Human adenovirus D8 strain Ger/Celle/09_2014, complete genome	31545	D	008	008	008	008	2014-09-01	DE	?	?	?	?	54.76	-2.70	Sep-2014	Germany
LC312462.1	Human adenovirus D8 DNA, complete genome, isolate: Fukuoka_5_2014	31545	D	008	008	008	008	2014-02-18	JP	07	?	?	?	-30.40	-64.12	2014-02-18	Japan:Fukuoka, Fukuoka University Hospital
LC312461.1	Human adenovirus D8 DNA, complete genome, isolate: Fukuoka_2_2014	31545	D	008	008	008	008	2014-02-04	JP	07	?	?	?	-30.40	-64.12	2014-02-04	Japan:Fukuoka, Fukuoka University Hospital
LC215432.1	Human adenovirus D8 DNA, complete genome, strain: case90_20131544	31545	D	008	008	008	008	2013-12-24	JP	21	?	?	?	42.48	-78.38	2013-12-24	Japan:Kumamoto
KP016741.1	Human adenovirus D8 strain Ger/Heidelberg/12_2013, complete genome	31545	D	008	008	008	008	2013-12-01	DE	?	?	?	?	54.76	-2.70	Dec-2013	Germany
KP016742.1	Human adenovirus D8 strain Ger/Heidelberg/11_2013, complete genome	31545	D	008	008	008	008	2013-11-01	DE	?	?	?	?	54.76	-2.70	Nov-2013	Germany
KP016740.1	Human adenovirus D8 strain Ger/Bottrop/02_2013, complete genome	31545	D	008	008	008	008	2013-02-01	DE	?	?	?	?	54.76	-2.70	Feb-2013	Germany
KP016739.1	Human adenovirus D8 strain Ger/Cottbus/02_2013, complete genome	31545	D	008	008	008	008	2013-02-01	DE	?	?	?	?	54.76	-2.70	Feb-2013	Germany
KP016736.1	Human adenovirus D8 strain Ger/Dortmund/01_2013, complete genome	31545	D	008	008	008	008	2013-01-01	DE	?	?	?	?	54.76	-2.70	Jan-2013	Germany
KP016738.1	Human adenovirus D8 strain Ger/Mulheim-Ruhr/01_2013, complete genome	31545	D	008	008	008	008	2013-01-01	DE	?	?	?	?	54.76	-2.70	Jan-2013	Germany
KP016735.1	Human adenovirus D8 strain Ger/Arnsberg/12_2012, complete genome	31545	D	008	008	008	008	2012-12-01	DE	?	?	?	?	54.76	-2.70	Dec-2012	Germany
KP016734.1	Human adenovirus D8 strain Ger/Celle/12_2012, complete genome	31545	D	008	008	008	008	2012-12-01	DE	?	?	?	?	54.76	-2.70	Dec-2012	Germany
KP016733.1	Human adenovirus D8 strain Ger/Cologne/12_2012, complete genome	31545	D	008	008	008	008	2012-12-01	DE	?	?	?	?	54.76	-2.70	Dec-2012	Germany
KP016737.1	Human adenovirus D8 strain Ger/Freiburg/12_2012, complete genome	31545	D	008	008	008	008	2012-12-01	DE	?	?	?	?	54.76	-2.70	Dec-2012	Germany
KP016732.1	Human adenovirus D8 strain Ger/Luneburg/11_2012, complete genome	31545	D	008	008	008	008	2012-11-01	DE	?	?	?	?	54.76	-2.70	Nov-2012	Germany
KP016731.1	Human adenovirus D8 strain Ger/Luneburg/11_2012, complete genome	31545	D	008	008	008	008	2012-11-01	DE	?	?	?	?	54.76	-2.70	Nov-2012	Germany
KP016730.1	Human adenovirus D8 strain Ger/Teltow/09_2012, complete genome	31545	D	008	008	008	008	2012-09-01	DE	?	?	?	?	54.76	-2.70	Sep-2012	Germany
KP016726.1	Human adenovirus D8 strain Ger/Hannover/08_2012, complete genome	31545	D	008	008	008	008	2012-08-01	DE	?	?	?	?	54.76	-2.70	Aug-2012	Germany
KP016729.1	Human adenovirus D8 strain Ger/Lanshut/08_2012, complete genome	31545	D	008	008	008	008	2012-08-01	DE	?	?	?	?	54.76	-2.70	Aug-2012	Germany
KP016743.1	Human adenovirus D8 strain Ger/Regensburg/07_2012, complete genome	31545	D	008	008	008	008	2012-07-01	DE	?	?	?	?	54.76	-2.70	Jul-2012	Germany
KP016728.1	Human adenovirus D8 strain Ger/Bottrop/06_2012, complete genome	31545	D	008	008	008	008	2012-06-01	DE	?	?	?	?	54.76	-2.70	Jun-2012	Germany
KP016727.1	Human adenovirus D8 strain Ger/Celle/03_2012, complete genome	31545	D	008	008	008	008	2012-03-01	DE	?	?	?	?	54.76	-2.70	Mar-2012	Germany
KT340055.1	Human adenovirus D8 isolate NYS05_2091, complete genome	31545	D	008	008	008	008	2012-01-01	US	?	?	?	?	64.00	26.00	2012	USA
KT340070.1	Human adenovirus D8 isolate NYS12_13421, complete genome	31545	D	008	008	008	008	2012-01-01	US	?	?	?	?	64.00	26.00	2012	USA
KT340056.1	Human adenovirus D8 isolate NYS12_4716, complete genome	31545	D	008	008	008	008	2012-01-01	US	?	?	?	?	64.00	26.00	2012	USA
KT340057.1	Human adenovirus D8 isolate NYS12_4717, complete genome	31545	D	008	008	008	008	2012-01-01	US	?	?	?	?	64.00	26.00	2012	USA
KT340058.1	Human adenovirus D8 isolate NYS12_4718, complete genome	31545	D	008	008	008	008	2012-01-01	US	?	?	?	?	64.00	26.00	2012	USA
